text,score,score_chr
Higher gas prices are due to inflation from covid measures not Ukraine It certainly won't help but that's not where it came from.,0,Neutral
 In the past few days I had to take my elderly mom for important doc visits So many employees at the offices not wearing masks. I said--my dad died of covid and no one comes near my mom without a mask. They put theirs on. Medical professionals! Come on.,0,Neutral
" Im not sure you can take 2020 I assume that's what this report is since it's dated June 2021) as proof of a larger trend considering how COVID changed disposable income spending, especially athleisure.I'm just not convinced that the growth is due to the scarcity strategy",-1,Negative
Love this  piece highlighting accountability transparent and efficiency being brought to the social care space! ,2,Positive
 mRNA spike proteins are slices of virus that your immune system uses to identify the strain of covid your vaccinated for and it permanently changes how your immune system replicates its self  leaving you immune compromised It is incredibly dumb. I agree.,-2,Negative
            Yes most modern countries have those Ebola is one of those pathogens that are researched and many other dangerous pathogens around the world. Those biological research facilities were instrumental in the research of COVID vaccine. It's not the same thing as making bio weapons.,1,Positive
"  You guys are delusional if you believe that masks dont work Stubborn people like you guys, is the reason why  covid is sticking around a lot longer…. Please do your research and look at scholarly journals instead of citing info from the onion or some shut",0,Neutral
My  article on a feminist intersectional lens on overlapping climate amp COVID-19 injustices is featured in  collection of peer-reviewed articles to get clean thinking for climate action: ,0,Neutral
"Where is the pragmatism amp intelligence of the economic power elite who govern the US? Even the COVID crisis has not been resolved, and yet, the crisis in Ukraine was not avoided through dialogue ; diplomacy. The US govt handled the COVID crisis very badly, because the ""policies""",-2,Negative
 Ok now Im wondering if tonsillitis is some kind of pre covid warning bc the only time Ive had it was about three weeks before I got covid,-1,Negative
"Faheem Ashraf Tests Positive For COVID19, Ruled Out Of 2nd Test Against Australia | Cricket News -India News Cart ",1,Positive
the ny covid mandate,0,Neutral
If yall cant see this covid bs and war is all about switching the new financial system to crypto than I don't know how to help u��‍♂️��‍♂️�,-1,Negative
 The subway and public bathrooms have always been  disgusting I'll keep the mask on there just cuz it's nasty not so much cuz of  covid.,-2,Negative
" while you guys afraid of covidwe are afraid of being killed by bombslook, this is Mariupol. this was a maternity hospital and hospital for children. russian troops has bombed it. THERE IS A GENOCIDE of Ukrainian people! RUSSIANS ARE TERRORISTS!!!   ",-4,Negative
 Ask the rig operators They shut down during covid and arent nearly back at capacity,0,Neutral
COVID case counts drop by nearly 100 in past week ,0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
COVID the flu RSV or a cold? All share some similar symptoms making it hard to tell them apart. RSV can be dangerous in infants ; children with certain medical conditions. Here are some signs it’s time to .    ,-4,Negative
  Why are they mixing with our DNA again for Its proven now and no conspiracy theory. ,0,Neutral
"  Its just awful Imagine, as we have to isolate, that Ford is appeasing the 10% or so who are anti-science. All Con Premiers are deliberately infecting their provinces, given what we know about the exponential spread of covid. ��",-2,Negative
     Absolutely not forgotten There were  at the protest at Holyrood who told their story over the mike Also included in all documents and research references sent to MPs etc and requests for study funding to include discrete cohorts for   ❤,-1,Negative
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
 Pretty much the past 2 years since COVID hit,1,Positive
 Reminds me of when he said there is no federal solution to COVID19”,0,Neutral
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
social distanced chat over the stairs because ive somehow caught covid ,0,Neutral
 New HCIAS Working Paper in the special series on the COVID19 pandemic in Ibero-America:Linguistic Analysis of the Newspaper Discourse in Brazil: The Older People and COVID-19by Thaís Dias de Castilho Ehrler and Sybille Große�� ,0,Neutral
    The same can be said for dying from covid ...... woops!!!!,-1,Negative
   Stop being stupid and educate yourself instead of just spewing MAGA talking points When hundreds of thousands were dying and Covid raging did you blame Trump because it was under HIS watch?? He told us it would DISAPPEAR. Some things the POTUS has no control over bud.,-4,Negative
I am so so thankful that our daycare went mask optional last week just before my son turned 2 because masking toddlers does not. make. sense. ,1,Positive
    Australia population 255M  with covid deaths of 5.4kNew Zealand population 5M with covid deaths of 65.Those countries in that area take coronaviruses seriously. They don't have Ron DeSantises.Nice try on the DNA. I will have to give you props for that.,0,Neutral
 Covid kinda fucked them all,0,Neutral
"  Wow  that's a distressing article. Most of it was about the other ""pastors"" at GCC and not MacArthur. Honestly, I'm not super familiar with MacArthur, except with the latest covid/church meetings issues. However, there are some questions he needs to address.",0,Neutral
"Econocentric Covid Safety Precautions"" Do Nothing to Make You ... ",0,Neutral
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
   2x Covid? Hmmm maybe there is a correlation between not wearing a mask and your getting it.,0,Neutral
Free at home COVID19 test kits are still available to order online at ,2,Positive
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
 This tweet summarizes my stance to a degree but I think that the long Covid risk alone should make people cautious until this disease is firmly under control which is isn’t yet. ,-1,Negative
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
Four times vaccinated former Israeli PM Netanyahu tests positive for coronavirus ,1,Positive
Today I had to put pants on and go into the office not quite ready to shave the Covidbeard yet though.    ,1,Positive
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
"With Covid digital transformation remote work accelerated. With Putin, renewable adoption, energy independence and defence tech/investments might accelerate",1,Positive
 Me pulling up Gas prices might help to end covid everybody gon be in the house ,0,Neutral
" Sarah ��. A big fat no to covid too ��Coz at the end of the day in both the scenarios be it Covid or WWIII one thing that is guaranteed is death, destruction, loss of precious human lives, bloodshedIt's the mankind that'll be at loss be it Covid or WWIII ����",-4,Negative
covid symptoms hm,-1,Negative
A pathbreaking study to understand mysteries of immune system KIR+CD8+ T cells suppress pathogenic T cells and are active in autoimmune diseases and COVID-19 ,-1,Negative
So those who contract covid have a chance at permanent brain damage How will that affect their earning potential? I imagine the fall out from this pandemic will echo through generations as we deal with this mass disabling event. But no masks now. Fuck you free market. ,-2,Negative
"  Although now that we know that Covid shrinks your brain if a zombie apocalypse did break out theyd probably starve to death before long. � Not that many had much brain to spare to start with, given the stupid behaviour we’re seeing.",-6,Very Negative
 The Queen has done well to keep out of politics But alongside this event I would not be surprised if some official/ diplomat has raised more than an eyebrow at Canada's antics over the covid pandemic. We remain friends but offer our criticism as friends in private.,0,Neutral
 Goodness Tester has gotten so fat through covid,0,Neutral
 It happened to the Chinese when covid arrived on our shores ,0,Neutral
COVID19 is still affecting many Ontarians. Visit ,0,Neutral
oh i totally forget about one of my relatives who goes to Ukraine ever year to participate in some kind of charity activities with Kids. Do to the COVID-19 i thought nobody could get into Ukraine…i gotta ask her where she is now…tomorrow. ಠ_ಠ,0,Neutral
   More Covid patients in hospital than ever so now is not the timeAlso Mask wearing isn’t a restriction it’s a minor inconvenience still as long as you are ok,-2,Negative
Since I had Covid last year certain things dont taste the same anymore ��,0,Neutral
SG didnt celebrate MLK SG tweeted about destroying women's sports on International Women's Day. His predictions of COVID haven't been right. He has always been against mitigation measures. He used his own daughters to promote far right anti mask propaganda on national TV. Wtf.,2,Positive
"Familia if you took advantage of the 2 FREE athome COVID-19 tests in January, did you know you're now eligible to order 4 more?! Head to the link in our bio to get your next batch of four, FREE at-home tests! ",3,Positive
 That shit is already over And that happened what within the last week or two? What about before? Covid just stops now? Please. They love having Covid end and a new fear,-1,Negative
The CDCs New Guidelines on Covid Risk and Masking Send Confounding Signals ,-2,Negative
 Surely the people fleeing war torn Ukraine are suffering enough without bringing them in to a country rife with spiralling COVID infections COVID hasn’t gone away. 15 Scots died yesterday of COVID. You appear to have lost all interest in COVID.  True?,-5,Very Negative
      There are some studies in this thread about mask requirements and covid spread Check em out. See what you think.,0,Neutral
   now same people who said fake news about Covid and vaccine data willingly accept the narrative they're told about the war by the same news media. It's comical really.,-1,Negative
"This is so important Part of our chronic undercounting of COVID cases is the erasure of long-COVID. How many cases are going uncounted due to lack of proper, timely testing? ",1,Positive
Prime Minister  chaired a meeting to review the COVID19 situation and the public health response to the pandemic.    ,0,Neutral
 Covid,0,Neutral
Its been almost 2 months since this recommendation yet Canadians are still being held hostage in their own country by  vaccine He obviously only listens to the WHO when it suite his agenda.  ,0,Neutral
" covid related either masks or vaccine takes  bitcoin related? i'm blocked as well and had some nice back and forths, especially in DMs",2,Positive
2 years into this pandemic and Im 2 years in with long covid I desperately want to be well again. I am 1 voice out of 2 million long covid sufferers in England alone. Please ,-1,Negative
"As we adapt to living with  please respect the space of those wearing the  symbol and consider giving them a bit more space or careIf you feel comfortable when you have more room, pick yours up today.Find out more ➡️ ",2,Positive
"MAIN ST'S"" VERDICT ON ""DEEP STATE"" COVID VAX AGENDA.                     ",0,Neutral
   Did you hear him make the case for a third year of a Covid emergency He is legally required to give up his emergency powers as soon as conditions permit,-2,Negative
 same thing i said during covid,0,Neutral
Fahim Ashraf has tested positive for COVID19 and will miss the test at Karachi too.He will complete a 5-day mandatory isolation before rejoining the squad.,-1,Negative
"    Looks like those mask mandates didnt do much for those 6 million people eh? If a mask doesn't filter out a fart, it's not filtering out Covid.",1,Positive
" Well r major clients of over 29 yrs both of whom profited during CoVid we are an external boutique consulting firm) 1 bank, 1 conglomerate, let us go during CoVid. We tried to stand up 4 r work to  person at the bank, she had someone else end r contract. We have stories!",2,Positive
   My wife and I put 4 can goods away evertime we buy food been doing it since the beginning of covid our can good collection has grown alot,1,Positive
" Guess whos back back again  is back tell a friend Guess what's back, Guess what's back, Guess what's back   ",0,Neutral
"In the Tank Highlights Biden Gaslighting Us on COVID Inflation, Energy... ",-1,Negative
As if after 2 years of waiting and pushing it back because of covid I finally fly out to Australia tomorrow!!���,0,Neutral
I see such outrage over the price of gasoline right now mostly from the GOP who are foolishly blaming Biden. Where is the outrage over the price of insulin? Where was the outrage about all of the Covid deaths?,-3,Negative
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
Faheem Ashraf tests positive for COVID19 ,1,Positive
Masks still required in Edmonton as province drops most COVID19 rules | CBC News ,0,Neutral
Covid hospitalisations UK warning  What drives the rise | UK | News ,-1,Negative
"COVID19: 17 new cases reported in  District, today",0,Neutral
 Like what the F did we give our DNA up too,1,Positive
2 years ago this month is our last normal month of life ,0,Neutral
have a 35 yr old son in law who was on the vent for covid who is now in rehab due to hospital negligence and they tried to get her to pull the plug on him twice This isn't over by a long shot.,-2,Negative
"they said wouldnt work well they put him on a strong broad spectrum antibiotic that causes kidney damage. His kidneys shut down , he was too weak for dialysis he died. He did not die from Covid he died from negligence and it's not over they haven't heard the last of me. I also",-3,Negative
..him on before going to the hospital. Siting antibiotics don't work for covid pneumonia. I fought with them for a week to get him Regeneron. They claimed they couldn't give Regeneron in patient. 7 days later after threatening a lawsuit they gave him regeneron but it was too,1,Positive
"  I feel like the  and their MSM protection racket are hoping that all kids get covid and end up with impaired cognition  so they might actually vote them back in. After all, the media have been silent on Long Covid and the true danger covid presents. ",1,Positive
The US nears 1M confirmed COVID deaths of which nearly 14K were loved ones in MD amp; 12% of those Baltimore. Read more on the scope of this loss:,0,Neutral
"277 confirmed new cases in MD yesterday a 7day total of 2294.Total tests: &lt;19K~1 in 2636 MDers have tested COVID+ in the past week.12 loved ones died yesterday, a 7-day total of 72.A Marylander died from COVID-19 every 2 hr 20 mins in the past week.Test + % is 1.6%. ",-1,Negative
"Baltimore City dashboard now down for 95 days 41 new cases yesterday, ~15% state total. 180 this wk, or ~1 out of 3205 people.4 more loved ones died from COVID, ~33% state total. 13 this wk.Cases per 100K: 4.33(-20.1% MD avg)Test Positivity Rate: 0.67%(-58.1% MD avg) ",0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
    More of thefires ring wing advocacy defending a professor who was fired for organizing a union.,0,Neutral
 Bruh u get Covid every event you go to goddamn,0,Neutral
"Of course there is truth here There is also a crap ton of propaganda. COVID has folks unnecessarily freaking out over the term ""bio lab.""",-3,Negative
Washing hands wearing face coverings in busy places and letting fresh air in help to protect us from COVID19.Find out more here: ,2,Positive
 Hes the perfect fit wr 1 coming off a bad year with COVID,0,Neutral
 Never went away just moved to Tiktok where he is of course a covid contrarian ,0,Neutral
You loot from job seekersYou loot from public coffersYou loot covid moniesYou loot contract moniesYou loot via kickbacksLol cant you see the log in your eyes ,-5,Very Negative
 Are you having a gay old time pretending that Covid19 isn’t a threat anymore?,-1,Negative
Jazmine Sullivan Cancels Tour Date COVID Got the Best of Me” ,1,Positive
   My housemate who has ocd stocks her cupboards like this was actually really helpful during covid because she never ran out of her safe items when supply issues where happening,2,Positive
  Im not so sure about that Omicron changed a lot about what we are dealing with when it comes to Covid and we just don't have the hospital capacity to manage excessive amounts of cases.,-1,Negative
 Your covid management is causing my mental health challengesWhy do you resist protecting our kids in school by refusing to mandate their only protection - masks,0,Neutral
 Covid cost us 76000 and we are going to loose everything.  �� Our home and car.,-1,Negative
 Im really not into getting COVID even if its less severe. Reading about long COVID is terrifying so we’ll just keep masking. I’m sure all the division ford hates will magically disappear when we all mingle �,-1,Negative
Logical I suppose that someone who thinks covid is always a “mild” illness would think carnage like this is “mild” damage ,-1,Negative
Life in America has always been some dipshit rich guy who went to Yale telling you that you have to break your backs and your health for no money so that he can live the life to which he is accustomed but it is seldom so literal as it has been over the Covid years,0,Neutral
I WAS REALLY RELAXED FOR THAT FIVE MINUTES BETWEEN COVID AND WAR,1,Positive
What did Biden promise What has he delivered Lest do a check list!Student debt relief.  HonkStop Covid.  HonkIncrease jobs. HonkImprove economy. HonkEnd wars. Just because we left Afghanistan doesn’t mean we dined war. Honk Reign in big tech ������� honk! ,1,Positive
"After 3 vaccines amp taking every precaution, COVID still got me.Been getting my butt kicked the last 2 days, and this will cause me to miss our team’s final 2 Regular Season OUA games, including Senior Night.So anyone trying to say COVID is done can miss me with that talk. � ",-2,Negative
       Okay how about this one ,0,Neutral
Covid Austria suspends compulsory vaccination mandate  ,0,Neutral
  China is right  US and EU WANTS the cold war    Its obvious The media tells nothing but the same story from the same angle    Hey where did yu go Covid,0,Neutral
Daily briefing What scientists think about ending COVID ,0,Neutral
Not the best start to the day  ,1,Positive
 When they start counting the suicides I hope states like Florida do a better job of counting than they did with the Covid deaths There's a reason these kids can't talk to their parents. Confiding in a trusted teacher is all they had.,3,Positive
Two years of not getting Covid and late last week my daughter tested positive  likely transmission is from removing the mask in school cafeteria to eat. Mask mandates need to stay and be based on science and not the politicking of . ,1,Positive
Me too And once again we are putting the burden of covid on young people instead of the gov't taking responsibility to keep them safe. ,0,Neutral
"ANOTHER VACCINE The new SanofiGSK COVID-19 vaccine uses the same well-established approach as the flu, HPV ; shingles vaccines. Here's what you need to know. ",0,Neutral
Right before covid part 2  ,1,Positive
Nasal Vaccines Could Help Stop COVID19 From Spreading—If Scientists Can Get Them Right,1,Positive
 Is that not against Covid constrictions,0,Neutral
 De covid obvio,0,Neutral
  We just saw this experiment in 2020 during CoVid btw I think I paid less than a dollar a gallon back then,0,Neutral
   US Oil Companies EXPO more last year than EVER Bc they like to keep prices high after they fell to lows during CoVid. Due to….DING DING DING…LOW Demand worldwide,-1,Negative
 And you didnt mention the hundred other daily items affected back then Similar to covid shortages a bit but not the same,0,Neutral
This is what mental illness and not understanding that covid is less severe than flu for children looks like ⬇️⬇️ ,-1,Negative
Were continuing to commemorate two years since the World Health Organization declared COVID19 a pandemic. We're proud to have provided access to the COVID-19 vaccine through our mobile vaccine team! ,1,Positive
Surrounded by Covid patients today  Wear your masks Ffs!! � It’s really not that hard. ,-1,Negative
  There was in early Covid where gas prices plummeted to this level Short memories,0,Neutral
" The Oxford study that came out this week found even mild covid caused brain loss and reduced executive function I'm really tired of hearing from people whose ""expertise"" is just a base assumption that they're always right.",-1,Negative
"  Not everyone can work from home and using public transport is awful The bus I’m currently on, 20% masked if even that. I don’t want to catch Covid getting to work ",1,Positive
Ok so say what you want about the  but with all the covid nonsense getting cancelled I think they get props cause it worked!,0,Neutral
"14 test positive for Covid19, no deaths reported: The Covid-19 positivity rate now stands at 0.3% after 14 people tested positive on Wednesday for the disease, from a sample size of 5,585 tested in t.. ",2,Positive
"ECDOH confirmed 60 new COVID19 cases for March 8, and 507 total cases over the past 7 days. Total new cases per 100,000 Erie County residents over the past 7 days: 53.Total cases through March 8: 212,813. These totals do not include at-home positive tests.  /1 ",1,Positive
"Positivity rate was 19%. 7-day positivity rate was 2.3%.Per CDC, Erie County’s COVID-19 Community Level is “low.” ",0,Neutral
 after 2014 oil dependence and Covid economic fragility we should have seen this coming.,0,Neutral
The fact that I may have been one of the first people in the US to contract covid Wild,-1,Negative
 He also said Covid was from USA,0,Neutral
"Past 2 years ga covid vala birthday celebrations kuda levu almost 4 years ga movie ledu finally everything is coming to an end March 25th chese celebrations oora mass untai Idi after all us fans hungama AP,Ts,KA lo racha leputham��Jai NTR �  ",1,Positive
"Fofana catching COVID the day before his first appearance in ninth months Vardy lasting an hour on his first start in three and being out for weeks thereafter… every team has injuries, but no team has had such wretched luck with squad depletion this year as  �",0,Neutral
All one must do to realize this runs deeper than Trump is read other pieces in The Atlantic (not by Ed Yong) that have minimized covid risks and scolded attempts to mitigate the danger. ,-2,Negative
 Innocent Russians should not be discriminated against because off Putins actions funny didn't hear a pip from you when trump was discriminating against Asian Americans because off  covid calling it the china virus putting innocent people's lives in danger.,-2,Negative
Why America Became Numb to COVID Deaths  The Atlantic ,-1,Negative
 hope covid hasnt hit you to hard and your on the mend and back pounding the pavement making us great humans laugh ang giggle soon,0,Neutral
guys please pray for my recovery i demam and batuk but already buat self test covid but still i cant tell theyre accurate or nah  esok i try ajak my mom buat swab kat doc hopefully -ve T____T,2,Positive
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
Covid just aint that beech no more Those return to office emails are many.,0,Neutral
  because they kicked millions off of unemployed and the rate dropped massively on that same day  Its a  misleading statistic. It also only counts those that are looking for work within the last 4 weeks.  If you haev long covid and can't work for months...you aren't counted...,0,Neutral
So I heard Covid is gone and its safe to come out Right ����� ,2,Positive
 Covid ,0,Neutral
  Have you been busier the last two yearsI hear that COVID vaccine is a real killer,-1,Negative
 How Trump lowered the price of gas1 Let 20 million people lose their jobs (most ever in history).2) Didn't stop millions of businesses from being wiped out.3) Turned a blind eye to millions of COVID hospitalizations. 4) Destroyed supply chain networks.Let's do it again!,-1,Negative
   COVID 19 has slowed down many economies around the world but as a crypto business does it affect you negatively or positively Are you still on track to achieve your goals or are you planning a new development?,0,Neutral
Me taking another covid test even though the first one was very clearly positive �,2,Positive
"Attorney Who Revealed DoD VaccineInjury Data Puts Feds On Legal NoticeBy Art MooreCharging possible government corruption regarding COVID-19 amounting to the ""greatest fraud"" in history, the Ohio attorney who publicized Department of Defense data",-1,Negative
  Cancer isnt contagious and more than 1600 have died in less time from Covid.,-3,Negative
COVID ,0,Neutral
"BC. stands by vaccine passport, mask rules as other provinces ease mandates ",1,Positive
" I truly am glad to see you survived  Though I disagree with you about everything, no one deserves to die of covid; it's a horrible way to go.",-2,Negative
 Im half way through this on my few days away.really enjoying it and I had actually forgotten some of the details of the start of covid,1,Positive
  You not got work to be doing Or are the covid numbers really that over exaggerated to the point you can be on Twitter ,1,Positive
Went to my Doctors appointment and he noticed I was coughing He asked me when was the last time I had a Covid test. I replied the last time you saw me and prescribed me Lisinopril that has a side effect of dry cough.,0,Neutral
"   Lets forget that as Americans all over the country were warriors fighting this pandemic tooth and nail, Nic was on the sidelines being political and doing nothing in the war against covid.",0,Neutral
Apparently I not only have covid but I also have a variant of it that's inducing insomnia to the point where even a decent dose of valium didn't even touch me. What the fuck?,0,Neutral
 Covid,0,Neutral
  Covid,0,Neutral
Florida To Allow Doctors To Use OffLabel Drugs For Early Treatment Of -19 ,0,Neutral
Sonia please see these videos from Kiev A Brit wanted to see for himself what was going on in the Ukraine He doesn’t trust the MSM and neither do I after Covid. He sees no evidence of war. He said he sees  “stage managed events so the media can film the illusion”,0,Neutral
     So we should risk our lives with this most deadly vaccine of all time just to avoid being sick Covid is over 99 survivable. The vax has killed more children than Covid in two years. Some are just paralyzed. Wake up! We are being culled. ,-5,Very Negative
 Paid 95 on avgPre covid it was 6570 in certain states �That's easy 2-3k savings,2,Positive
Idk if its allergies or covid at this point,-1,Negative
"Older sicker, poorer, Blacker or browner, the people killed by COVID were treated as marginally in death as they were in life.” ",-4,Negative
" Well you see Ryan everything balances out Removal of masks mandates means more COVID hospitalizations but hey at least the nurses get a $5,000 bonus for the inconvenience! �",1,Positive
 The climate is always changing now First COVID and now the Russia-Ukraine conflict. The good news is these climate changes are occurring faster than the ecologically induced climate change! �,1,Positive
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
were due a 'covid' type madness real soon i can feel it,-1,Negative
  Wen was Mr Kher during Covid.. He is just an oppurtunist.. Worried abt movies.. Log gaye tel lagane.. U shud b ashamed abt ur Matlabipana,-2,Negative
    Biden instead of continuing that and trying to overcome the effects of COVID started canceling drilling and pipelines The opposite of what he should have been doing,0,Neutral
 Most certainly I have been concerned at how care-free people have become based on authorities which are neither medical or scientific experts. The impact of Covid in the long term is still not yet known. Thank you for raising the important voices and issues on this matter. ❤️,1,Positive
large work meetings should not go back to in person even if covid actually goes away,1,Positive
   CIA psychological profiler who labeled Trump dangerous dies of covid-19 at 86,-1,Negative
Even though FL and other states are closing the curtain on CV theater.. the Biden Administration is still pushing against our own military. No longer do our enemies shoot w bullets. ,-1,Negative
  How many more times likely are they to die from school shootings than Covid,-1,Negative
Saftey net for women during COVID19 ,0,Neutral
WH.O. Bolsters Booster Endorsement but Still Emphasizes More Primary Shots ,1,Positive
  We started wearing masks  At the start.  When we did testing.  And what was the result.  Did we solve or prevent covid from spreading in 2020?,0,Neutral
 . . Going up. ,0,Neutral
 A few different sources here ,0,Neutral
" Ive got siblings who refuse to mask up because they're ""sick of it"" and want to pretend everything is normal, even knowing how Covid's ruined my health and could mess me up worse a second time.  I appreciate EVERYONE who's displaying more sense and compassion than that.",-4,Negative
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
Expert Panel Discussion on COVID19 and Medical Freedom,1,Positive
 The kushner family Organization zombies all belong in prison for what they didnt do at the start of the Covid and everything after,-1,Negative
covid 's r back up...chile ,0,Neutral
"Covid and Ukraine makin my macroeconomics instructor go off script He's talking about ""this medium needs to be critiqued and re-evaluated"". He's talking about standard of living measurements don't work because it doesn't factor income inequality. Talking about housing scarcity",-1,Negative
"Meanwhile the US. hurtles toward 1,000,000 Covid deaths, gas prices increase daily, and climate change is accelerating at a quicker pace than previously thought. But sure, commuting to the office every day will solve our problems ",0,Neutral
Excellent talks from Sir Terence Stephenson  on Children and Young People with long Covid: the CLoCk study and  () on Long Covid Paediatric Hubs: an updatein today's Catherine Peckham Symposium chaired by   at ,1,Positive
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
These Covid mandates have been replaced with 8 gas mandatesDo your part folks for 15 days……. ,0,Neutral
" Yeah its strange two of my sisters had that, but both post Covid, like several weeks after.",0,Neutral
WH.O. Bolsters Booster Endorsement but Still Emphasizes More Primary Shots ,1,Positive
  Why are parents being told to vaccinate their kids They have next to zero chance of serious illness from Covid but theyre pushing the jab.,-1,Negative
Russias invasion of Ukraine is causing a devastating humanitarian crisis in the country with at least two million people fleeing into neighboring countries and the WHO warning that the deteriorating conditions will make it easier for Covid-19 to spread ,-4,Negative
Vaccine Detox Protocol by Dr Zandre Botha and colleaguesHere is a list of things you can take to detox your system from the harmful effects of the Covid bioweapon aka vaccine’.(List,-1,Negative
  My doctor told me he will continue using masking protocols and distancing in his office forever He always had glass covering for his huge reception area and all his staff for health/safety reasons before Covid. I trust my doctor not politicians.,1,Positive
theatres in my city have been closed for far too long due to covid restrictions..���,0,Neutral
What now Where is WHO getting their facts from Anyone whose read the Pfizer document would get this! ,0,Neutral
 Really Using the 5G chip from the COVID19 vax to trace us??? What fresh � is this???,1,Positive
Oh I fasho learned who my true inner circle was lol that happened like twice as hard as it did during the height of the Covid panini,0,Neutral
"Dr John Campbell is who my Dad watches for all his Covid19 information.Unfortunately, my Dad will be a very upset Man when he sees John's new Video on the Pfizer documents, you should have listened to me Dad. I tried everyday to warn you ⚠️ ",-1,Negative
I saw a post reshared from my friend whose a nurse and it was a completely empty Covid ICU unit we never thought we would make it here but we did ❤️❤️,0,Neutral
  Studies have shown that masking does reduce the spread of Covid DeSantis is denying reality,-1,Negative
"  I got COVID in December too despite being  triple vaxxed, careful and living in a city with a vaccine and mask mandate. I didn't even go home for Xmas for the 2nd year in a row.",0,Neutral
" Dave is right They do *help*, but Joe Biden said last summer “if you get vaccinated you will not get covid” and that is a lie",0,Neutral
 I have had all three shots Had covid in January. Still feel like I have bronchitis. This sucks.,0,Neutral
I have grandchildren under 5  I have a 92 year old mother.  I want to travel to visit family.  I don't want to risk brain damage from covid.  I'll be wearing a mask after March 21.,-2,Negative
  You certainly reduce your risk of getting Covid if youre wearing a good fitting mask and I'm not talking about keeping it under your nose.,0,Neutral
" I got covid and had to miss NEO prerelease I thought my friends had basically forgotten about me and then they turned up at my door and dropped off a kit and piles of rares and cool sagas and promo oversizeds... those cards are special in their own way, I think :)",0,Neutral
"I have issues with this My kids’ school has 20-25 active cases every two weeks. My son is currently fighting COVID that he got from school. The case counts in kids is up. Why is  pushing this easy preventative measure to stop? Too soon, dude. ",0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
"Louisiana has been living with covid for 2 years On this day in 2020,  detected the first coronavirus case in the state. ",0,Neutral
"   So now if I get cancer ever it's because of the covid vaccine? �  not the sun, or tobacco, or heredity? �",-1,Negative
"SCIENCESafety of mRNA vaccines administered during the initial 6 months of the US COVID19 vaccination programme: an observational study of reports to the Vaccine Adverse Event Reporting System and v-safe - The Lancet Infectious Diseases"" ",-1,Negative
"   Nice propaganda you got there It was officially confirmed that covid-19 started from someone in a Wuhan marketplace, not from a Wuhan lab.",0,Neutral
"Lets All Take NotePay Attention, Living With Covid-19* Doesn't Mean Limiting Access To Covid Testing, Lifting Public Mask Measures, Reducing Common Sense Health ; Safety Tools Or Steps.Learning To Live Covid, Not With The  Premier/Provincial Government Administration. ",0,Neutral
Mask mandates are being lifted in Canada  and could further divide Canadians ,0,Neutral
COVID19 in Quebec: What you need to know Wednesday ,0,Neutral
  Precisely And they’re proud to be leaders in Covid regulation “innovation”. It’s absolutely mind boggling,3,Positive
 I cant wait to move out man fuck COVID,-1,Negative
This would be called making Dr Moore be the face of this when people are sick and dying during an election   ,-2,Negative
    People will get long covid more and be disabled from it people will die I hope it isn't me or one of my loved ones. I hope it isn't you.  doesn't care. We're on our own. ,-1,Negative
  They had BOTH just recovered from Covid,0,Neutral
The CDC is a joke Who the hell needs to quarantine 5 days. It’s been 2 fucking years with covid. Get a grip.,-3,Negative
 covids stopped them from seeing each other at least three times now ,0,Neutral
   Covid vanished like last week lol,1,Positive
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
Gas Prices Jump 12 Cents A Gallon In A Day As Fuel Costs Replace Covid As Top Travel Concern ,0,Neutral
Gas Prices Jump 12 Cents A Gallon In A Day As Fuel Costs Replace Covid As Top Travel Concern ,0,Neutral
 The Province is definitely moving too quickly in dropping mandates With the lack of testing we don't even have a good handle on how much Covid is still out there. Politics appears to be trumping science these days.,0,Neutral
 A friend of mine has had 4 jabs and has now caught covid again and is very unwell a game changer you say Mr Yousless?,-1,Negative
